canonical_smiles,docking_score,QED,Synthetic Accessibility,PAINS,SureChEMBL,Glaxo,Brenk,IC50,Chirality,FullStereoInfo,NumChiralCenters,E/Z_status,ligand_name,Minimum Energy
C/C(=N\Nc1nncc2ccccc12)c1cccc(OC(F)F)c1,-7.5,0.5664905552964228,2.4206515330870086,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4056,-7.4
Cc1cc(C)c(S(=O)(=O)Nc2cc(C(C(=O)OCc3ccccc3)C(=O)OCc3ccccc3)c(O)c3ccccc23)c(C)c1,-1.2,0.0993103171717323,2.723300809039074,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_4058,-0.9
O=C(NCc1ccccn1)C(=O)N/N=C/c1ccc2c(c1)OCO2,-1.5,0.4859535737928827,2.257577639154853,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4061,-1.8
CCCCOc1ccc(CNC(=S)N/N=C/c2ccc(OC)c(OC)c2)cc1,-5.1,0.2726263145609498,2.066420429278047,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4062,-5.7
COC(=O)N/N=C/c1cn(Cc2ccccc2F)c2ccccc12,-7.0,0.5892877825697564,2.169719091615436,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4065,-7.2
CC(=O)Nc1cccc(-c2ccc([N+](=O)[O-])c3[nH]c(C(=O)O)cc23)c1,-7.4,0.4959729272187936,2.342676654236844,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4067,-7.0
CCCCOc1cc(C(=O)NCc2cc(C(C)C)no2)ccc1OC,-5.6,0.6968116501607372,2.1621450823304897,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4068,-5.5
CCOC(=O)C(/C=N/c1ncccc1C)=C(/O)OCC,-5.5,0.3739538384607905,3.061658732454374,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4069,-5.7
Fc1ccc(CCOc2cncc3nnc(C4CCOCC4)n23)cc1F,-7.3,0.7001274881151504,2.871896291083093,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4071,-7.2
CCOc1ccc(CCNC(=O)c2ccc(N3N=C(C)CC3=O)cc2)cc1OCC,-5.2,0.6866256742978616,2.2837549377155675,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4073,-5.0
Sc1nc(-c2ccccc2)cn1/N=C/c1ccc(Br)cc1,-4.3,0.5429532260719346,2.4806645535973644,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4074,-4.8
CCOC(=O)c1ccc(N(C)C)cc1,-5.2,0.6868410529172495,1.5134939460160233,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_4075,-5.2
CCc1cccc(CC)c1N,-5.4,0.6418508425408987,1.965686490143384,0,1,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_4077,-5.4
COc1cccc(C(=O)O/N=C/c2ccc(Sc3ccc(C)cc3)nc2)c1,-4.1,0.3521564971178339,2.35550347663092,0,1,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_4080,-4.6
c1ccc(-c2nnc(SCc3cccnc3)o2)cc1,-6.7,0.6791394962566917,1.9517760690305896,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4082,-6.5
C/C(=N\O)c1c(O)cc(-c2ccccc2)n(-c2ccccc2)c1=O,-7.6,0.4410390618152988,2.295999319827123,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4083,-7.4
C/C(=N/Cc1cccnc1)C1=C(O)c2ccccc2C1=O,-7.5,0.876801491536629,2.509352081970631,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4084,-7.6
CCOc1cc(F)c(CCNC(=O)c2cc3sccc3n2Cc2ccccc2)cc1OCC,-6.2,0.3281205527205796,2.403225498839415,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4086,-6.6
C/C(=N/NC(=O)c1ccccn1)c1ccc(O)cc1,-7.0,0.6498133002943578,1.9768463794219533,0,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4087,-6.9
COc1ccc(OC)c(/C=N/NC(=O)c2[nH]ncc2Br)c1,-5.7,0.6353219321636502,2.4026720428572013,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4088,-5.8
