canonical_smiles,docking_score,QED,Synthetic Accessibility,PAINS,SureChEMBL,Glaxo,Brenk,IC50,Chirality,FullStereoInfo,NumChiralCenters,E/Z_status,ligand_name,Minimum Energy
Cc1cc(/C=N\NC(=O)CC(=O)NC2CCCCC2)c(C)n1-c1cccc(Cl)c1Cl,-8.1,0.381524808253153,2.512768538232697,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_1506,-7.9
N=C(Nc1cccc(-c2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,-6.3,0.2318879356424065,2.7565227416607865,0,1,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_1932,-6.6
CC(=O)Nc1ccc(C)cc1C,-5.7,0.6756127009998775,1.4090800229462983,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_3671,-5.8
CCCCCOc1c(-c2ccccc2)cc(O)c(-c2ccccc2)c1O,-7.0,0.5147737619749466,2.0745457971559684,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_7950,-7.2
CCCCc1nc2cc(S(=O)(=O)NC3CCCCC3)ccc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,-2.1,0.2400056682668737,2.425252539741628,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_6047,-1.4
CSCC[C@H](NC(=O)c1ccc(CNC(CC2CCCCC2)CC2CCCCC2)cc1-c1ccccc1C)C(=O)O,-4.1,0.2117042486401871,3.168330496636928,0,0,0,0,0,Хиральная,True,1,E/Z не применима,ligand_8087,-2.2
CCOc1cc(/C=N/N=C(N)N)ccc1OCc1ccc(Cl)cc1,-6.4,0.4574705749772715,2.1642735279719183,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_3497,-6.6
CCOC(=O)c1c(Cc2ccc(Cl)cc2)n(Cc2ccccc2)c2c1cc(O)c1ccccc12,-6.0,0.2730768011667589,2.3671978899112425,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_6097,-7.3
CC(C)(O)CN1CCC(N(c2ccc(C#N)cc2)c2cccnc2)CC1,-6.5,0.8960490716263572,2.630111817945989,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_2325,-6.4
COc1cccc(/C=N/NC(=O)c2nnn(-c3nonc3N)c2C(C)C)c1OCc1ccc(F)cc1,0.4,0.2637776254616385,2.8060005483773303,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_705,-1.2
Cc1nnc(S)n1/N=C/c1ccccc1,-5.8,0.6162241414961597,2.451995015047208,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_3714,-5.8
CC(=O)N(c1cccc(-c2ccccc2)c1)c1nc2ccc(F)cc2c(C(=O)O)c1C,-6.8,0.4627983841312222,2.432382748695236,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_5529,-4.5
Oc1cnnc(N/N=C/c2cccs2)n1,-5.1,0.5983061718721793,2.9464771747479723,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_3798,-5.1
Clc1ccc2[nH]c3c(c2c1)CCN(CCc1ccc2ccccc2n1)C3,-8.6,0.5583056575893032,2.3292155034496744,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_9698,-8.7
O=c1c2ncn(-c3ccccc3)c2nc(NCc2ccccc2)n1-c1ccc(Cl)cc1,-6.7,0.4357268757816547,2.271701167676783,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_5566,-7.0
CN(C)c1ccc(/C=N/c2cc(-c3ccccc3)nn2-c2ccccc2)cc1,-2.4,0.4458121301122925,2.278048632842778,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_2418,-5.0
CC1(C)c2ccc([nH]2)C2(C)CCCCNC(=O)c3cccc(n3)C(=O)NCCCCC(C)(c3ccc1[nH]3)c1ccc([nH]1)C(C)(C)c1ccc2[nH]1,53.9,0.101765481445823,6.031005397529139,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_9575,67.8
Cc1noc(C)c1S(=O)(=O)N1CCC(C(=O)c2ccccc2)CC1,-7.3,0.7934392856527102,2.113638544518148,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_1785,-7.2
